time_point(ms),time(UTC+8),pt(ep)
1713968100000,2024-04-24 22:15:00,885336
1713969900000,2024-04-24 22:45:00,891454
1713971700000,2024-04-24 23:15:00,895402
1713973500000,2024-04-24 23:45:00,899104
1713975300000,2024-04-25 00:15:00,906013
1713977100000,2024-04-25 00:45:00,911353
1713978900000,2024-04-25 01:15:00,914621
1713980700000,2024-04-25 01:45:00,916133
1713982500000,2024-04-25 02:15:00,919262
1713984300000,2024-04-25 02:45:00,920300
1713986100000,2024-04-25 03:15:00,921538
1713987900000,2024-04-25 03:45:00,922750
1713989700000,2024-04-25 04:15:00,923238
1713991500000,2024-04-25 04:45:00,923238
1713993300000,2024-04-25 05:15:00,923330
1713995100000,2024-04-25 05:45:00,923848
1713996900000,2024-04-25 06:15:00,924175
1713998700000,2024-04-25 06:45:00,925986
1714000500000,2024-04-25 07:15:00,926235
1714002300000,2024-04-25 07:45:00,929344
1714004101000,2024-04-25 08:15:01,931445
1714005900000,2024-04-25 08:45:00,935987
1714007700000,2024-04-25 09:15:00,937674
1714009500000,2024-04-25 09:45:00,940267
1714011300000,2024-04-25 10:15:00,942365
1714013100000,2024-04-25 10:45:00,944533
1714014900000,2024-04-25 11:15:00,946774
1714016700000,2024-04-25 11:45:00,949910
1714018500000,2024-04-25 12:15:00,952366
1714020300000,2024-04-25 12:45:00,957044
1714022101000,2024-04-25 13:15:01,961780
1714023900000,2024-04-25 13:45:00,964388
1714025700000,2024-04-25 14:15:00,968133
1714027500000,2024-04-25 14:45:00,969951
1714029300000,2024-04-25 15:15:00,972902
1714031100000,2024-04-25 15:45:00,976341
1714034710000,2024-04-25 16:45:10,982666
1714036500000,2024-04-25 17:15:00,989015
1714038300000,2024-04-25 17:45:00,991125
1714040100000,2024-04-25 18:15:00,995420
1714041900000,2024-04-25 18:45:00,1000622
1714043700000,2024-04-25 19:15:00,1006168
1714045500000,2024-04-25 19:45:00,1009990
1714047301000,2024-04-25 20:15:01,1014149
1714049100000,2024-04-25 20:45:00,1019325
1714050901000,2024-04-25 21:15:01,1021724
1714052701000,2024-04-25 21:45:01,1028150
1714054500000,2024-04-25 22:15:00,1032512
1714056300000,2024-04-25 22:45:00,1037804
1714058100000,2024-04-25 23:15:00,1044167
1714059900000,2024-04-25 23:45:00,1051526
1714061701000,2024-04-26 00:15:01,1059019
1714063500000,2024-04-26 00:45:00,1065217
1714065300000,2024-04-26 01:15:00,1068923
1714067100000,2024-04-26 01:45:00,1071319
1714068900000,2024-04-26 02:15:00,1074136
1714070700000,2024-04-26 02:45:00,1075854
1714072500000,2024-04-26 03:15:00,1077500
1714074300000,2024-04-26 03:45:00,1077500
1714076100000,2024-04-26 04:15:00,1077633
1714077900000,2024-04-26 04:45:00,1078789
1714079700000,2024-04-26 05:15:00,1079060
1714081500000,2024-04-26 05:45:00,1079491
1714083301000,2024-04-26 06:15:01,1080099
1714085100000,2024-04-26 06:45:00,1081230
1714086901000,2024-04-26 07:15:01,1083827
1714088700000,2024-04-26 07:45:00,1086246
1714090500000,2024-04-26 08:15:00,1088700
1714092300000,2024-04-26 08:45:00,1091533
1714094101000,2024-04-26 09:15:01,1096445
1714095900000,2024-04-26 09:45:00,1099058
1714097700000,2024-04-26 10:15:00,1102565
1714099500000,2024-04-26 10:45:00,1105006
1714101300000,2024-04-26 11:15:00,1107166
1714103101000,2024-04-26 11:45:01,1111075
1714106710000,2024-04-26 12:45:10,1122024
1714108500000,2024-04-26 13:15:00,1127381
1714110300000,2024-04-26 13:45:00,1132648
1714112102000,2024-04-26 14:15:02,1136344
